YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours),,,,,,
1998,NV,"Combined Heat and Power, Electric Power",Other,"6,399",,,,,,
1999,NV,Total Electric Power Industry,Total,"30,532,131",,,,,,
1999,NV,Total Electric Power Industry,Coal,"16,907,530",,,,,,
1999,NV,Total Electric Power Industry,Geothermal,"1,414,912",,,,,,
1999,NV,Total Electric Power Industry,Hydroelectric Conventional,"2,827,671",,,,,,
1999,NV,Total Electric Power Industry,Natural Gas,"9,346,541",,,,,,
1999,NV,Total Electric Power Industry,Petroleum,"35,477",,,,,,
1999,NV,"Electric Generators, Independent Power Producers",Total,"1,711,718",,,,,,
1999,NV,"Electric Generators, Independent Power Producers",Geothermal,"1,414,912",,,,,,
1999,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"20,509",,,,,,
1999,NV,"Electric Generators, Independent Power Producers",Natural Gas,"276,238",,,,,,
1999,NV,"Electric Generators, Independent Power Producers",Petroleum,59,,,,,,
1999,NV,"Electric Generators, Electric Utilities",Total,"26,485,602",,,,,,
1999,NV,"Electric Generators, Electric Utilities",Coal,"16,907,530",,,,,,
1999,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"2,807,162",,,,,,
1999,NV,"Electric Generators, Electric Utilities",Natural Gas,"6,735,492",,,,,,
1999,NV,"Electric Generators, Electric Utilities",Petroleum,"35,418",,,,,,
1999,NV,"Combined Heat and Power, Electric Power",Total,"2,334,811",,,,,,
1999,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,334,811",,,,,,
2000,NV,Total Electric Power Industry,Total,"35,484,915",,,,,,
2000,NV,Total Electric Power Industry,Coal,"18,931,521",,,,,,
2000,NV,Total Electric Power Industry,Geothermal,"1,370,791",,,,,,
2000,NV,Total Electric Power Industry,Hydroelectric Conventional,"2,429,468",,,,,,
2000,NV,Total Electric Power Industry,Natural Gas,"12,667,189",,,,,,
2000,NV,Total Electric Power Industry,Other,"21,152",,,,,,
2000,NV,Total Electric Power Industry,Petroleum,"64,794",,,,,,
2000,NV,"Electric Generators, Independent Power Producers",Total,"3,690,617",,,,,,
2000,NV,"Electric Generators, Independent Power Producers",Geothermal,"1,370,791",,,,,,
2000,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"13,870",,,,,,
2000,NV,"Electric Generators, Independent Power Producers",Natural Gas,"2,305,776",,,,,,
2000,NV,"Electric Generators, Independent Power Producers",Petroleum,180,,,,,,
2000,NV,"Electric Generators, Electric Utilities",Total,"29,341,675",,,,,,
2000,NV,"Electric Generators, Electric Utilities",Coal,"18,931,521",,,,,,
2000,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"2,415,598",,,,,,
2000,NV,"Electric Generators, Electric Utilities",Natural Gas,"7,929,942",,,,,,
2000,NV,"Electric Generators, Electric Utilities",Petroleum,"64,614",,,,,,
2000,NV,"Combined Heat and Power, Electric Power",Total,"2,452,623",,,,,,
2000,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,431,471",,,,,,
2000,NV,"Combined Heat and Power, Electric Power",Other,"21,152",,,,,,
2001,NV,Total Electric Power Industry,Total,"33,875,966",,,,,,
2001,NV,Total Electric Power Industry,Coal,"17,736,970",,,,,,
2001,NV,Total Electric Power Industry,Geothermal,"1,199,873",,,,,,
2001,NV,Total Electric Power Industry,Hydroelectric Conventional,"2,513,722",,,,,,
2001,NV,Total Electric Power Industry,Natural Gas,"11,513,773",,,,,,
2001,NV,Total Electric Power Industry,Petroleum,"911,628",,,,,,
2001,NV,"Electric Generators, Independent Power Producers",Total,"3,534,581",,,,,,
2001,NV,"Electric Generators, Independent Power Producers",Geothermal,"1,199,873",,,,,,
2001,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"9,141",,,,,,
2001,NV,"Electric Generators, Independent Power Producers",Natural Gas,"2,325,550",,,,,,
2001,NV,"Electric Generators, Independent Power Producers",Petroleum,17,,,,,,
2001,NV,"Electric Generators, Electric Utilities",Total,"27,896,065",,,,,,
2001,NV,"Electric Generators, Electric Utilities",Coal,"17,736,970",,,,,,
2001,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"2,504,581",,,,,,
2001,NV,"Electric Generators, Electric Utilities",Natural Gas,"6,742,903",,,,,,
2001,NV,"Electric Generators, Electric Utilities",Petroleum,"911,611",,,,,,
2001,NV,"Combined Heat and Power, Electric Power",Total,"2,445,320",,,,,,
2001,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,445,320",,,,,,
2002,NV,Total Electric Power Industry,Total,"32,088,935",,,,,,
2002,NV,Total Electric Power Industry,Coal,"16,413,025",,,,,,
2002,NV,Total Electric Power Industry,Geothermal,"1,127,283",,,,,,
2002,NV,Total Electric Power Industry,Hydroelectric Conventional,"2,267,586",,,,,,
2002,NV,Total Electric Power Industry,Natural Gas,"12,210,660",,,,,,
2002,NV,Total Electric Power Industry,Other Gases,"44,909",,,,,,
2002,NV,Total Electric Power Industry,Petroleum,"25,472",,,,,,
2002,NV,"Electric Generators, Independent Power Producers",Total,"4,652,670",,,,,,
2002,NV,"Electric Generators, Independent Power Producers",Geothermal,"1,127,283",,,,,,
2002,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"8,202",,,,,,
2002,NV,"Electric Generators, Independent Power Producers",Natural Gas,"3,517,185",,,,,,
2002,NV,"Electric Generators, Independent Power Producers",Petroleum,0,,,,,,
2002,NV,"Electric Generators, Electric Utilities",Total,"25,008,568",,,,,,
2002,NV,"Electric Generators, Electric Utilities",Coal,"16,413,025",,,,,,
2002,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"2,259,384",,,,,,
2002,NV,"Electric Generators, Electric Utilities",Natural Gas,"6,310,687",,,,,,
2002,NV,"Electric Generators, Electric Utilities",Petroleum,"25,472",,,,,,
