Event,minutes,AvgGlobalHoriz
Winter Solstice,410,0.6293199999999999
Winter Solstice,450,63.971940000000004
Winter Solstice,610,385.613
Winter Solstice,865,240.3696
Winter Solstice,965,24.1596
Winter Solstice,905,142.4502
Winter Solstice,960,37.7062
Winter Solstice,760,433.158
Winter Solstice,620,393.5156
Winter Solstice,795,381.8232
Winter Solstice,900,157.90399999999997
Winter Solstice,700,416.1388
Winter Solstice,925,114.878
Winter Solstice,975,5.38326
Winter Solstice,595,361.4482
Winter Solstice,750,428.61220000000003
Winter Solstice,740,422.62219999999996
Winter Solstice,765,420.23400000000004
Winter Solstice,745,440.24300000000005
Winter Solstice,565,310.7254
Winter Solstice,800,374.54440000000005
Winter Solstice,735,411.05240000000003
Winter Solstice,655,405.3462
Winter Solstice,590,346.85
Winter Solstice,985,0.31451799999999996
Winter Solstice,465,96.6714
Winter Solstice,580,347.1366
Winter Solstice,870,215.1996
Winter Solstice,520,217.7348
Winter Solstice,835,312.30620000000005
Winter Solstice,525,228.33340000000004
Winter Solstice,555,277.634
Winter Solstice,575,351.746
Winter Solstice,490,154.58339999999998
Winter Solstice,545,265.94759999999997
Winter Solstice,780,407.446
Winter Solstice,805,366.595
Winter Solstice,955,45.639199999999995
Winter Solstice,840,291.7236
Winter Solstice,815,321.4362
Winter Solstice,535,250.49699999999999
Winter Solstice,790,405.262
Winter Solstice,950,61.198800000000006
Winter Solstice,455,74.5334
Winter Solstice,615,394.05100000000004
Winter Solstice,855,277.15200000000004
Winter Solstice,720,426.2084
Winter Solstice,570,328.96479999999997
Winter Solstice,690,414.2915999999999
Winter Solstice,425,18.5413
Winter Solstice,645,388.21500000000003
Winter Solstice,630,393.5706
Winter Solstice,770,412.6
Winter Solstice,480,133.5186
Winter Solstice,660,408.6222
Winter Solstice,860,244.03979999999996
Winter Solstice,910,144.911
Winter Solstice,715,432.4898
Winter Solstice,475,121.21400000000001
Winter Solstice,635,393.36640000000006
Winter Solstice,550,272.9156
Winter Solstice,415,3.5175099999999992
Winter Solstice,430,26.450892
Winter Solstice,820,320.22220000000004
Winter Solstice,695,416.3776
Winter Solstice,825,321.3244
Winter Solstice,500,171.22899999999998
Winter Solstice,785,408.87
Winter Solstice,600,369.9848
Winter Solstice,915,133.053
Winter Solstice,670,410.8048
Winter Solstice,705,421.3702
Winter Solstice,470,108.40540000000001
Winter Solstice,540,257.37800000000004
Winter Solstice,665,409.79439999999994
Winter Solstice,560,294.62579999999997
Winter Solstice,730,423.9216
Winter Solstice,970,17.97126
Winter Solstice,875,221.93919999999997
Winter Solstice,650,388.1442
Winter Solstice,420,9.172127999999999
Winter Solstice,685,412.5202000000001
Winter Solstice,885,203.2462
Winter Solstice,680,411.82399999999996
Winter Solstice,895,176.56119999999999
Winter Solstice,435,34.37448
Winter Solstice,945,69.15
Winter Solstice,505,182.6918
Winter Solstice,640,389.9698
Winter Solstice,460,86.6548
Winter Solstice,775,415.03200000000004
Winter Solstice,515,208.24699999999999
Winter Solstice,510,197.51179999999997
Winter Solstice,725,407.9796
Winter Solstice,845,295.6524
Winter Solstice,880,210.89360000000002
Winter Solstice,755,433.32939999999996
Winter Solstice,710,429.0713999999999
Winter Solstice,940,74.50659999999999
Winter Solstice,930,95.6514
Winter Solstice,585,352.0882
Winter Solstice,935,94.04
Winter Solstice,605,378.5548
Winter Solstice,920,119.8382
Winter Solstice,980,2.62428
Winter Solstice,485,142.61759999999998
Winter Solstice,890,185.75560000000002
Winter Solstice,810,337.2944
Winter Solstice,625,398.1734
Winter Solstice,830,322.15959999999995
Winter Solstice,530,242.5002
Winter Solstice,675,408.997
Winter Solstice,440,42.75226
Winter Solstice,445,52.688005999999994
Winter Solstice,850,283.16859999999997
Winter Solstice,495,165.3464
